district_name,speed_acr,CARPOOL_percent,
1,-0.008986409,25.33169,
2,-0.070764042,10.98541,
3,0.019098906,39.34108,
4,0.030647164,12.56434,
5,-0.01361688,24.90231,
6,0.008638814,23.70585,
7,0.05576825,44.66028,
8,0.019324103,33.98813,
9,,,-0.220663843
10,-0.007779328,20.73094,
11,0.033507643,10.66393,
12,0.055304152,49.62618,
,,,
,,,
,,,
district_name,speed_acr,CARPOOL_percent,
1,,,
2,,,
3,,,
4,0.030647164,12.56434,
5,,,
6,,,
7,0.05576825,44.66028,
8,,,
9,,,
10,,,
11,,,
12,0.055304152,49.62618,
,,,
,,,
,,,
district_name,speed_acr,CARPOOL_percent,
1,-0.008986409,25.33169,
2,-0.070764042,10.98541,
3,0.019098906,39.34108,
4,,,
5,-0.01361688,24.90231,
6,0.008638814,23.70585,
7,,,
8,0.019324103,33.98813,
9,,,
10,-0.007779328,20.73094,
11,0.033507643,10.66393,
12,,,
