OBJECTID,Route,Direction,Begin_County,Begin_Post_Mile,End_County,End_Post_Mile,Begin_Abs_Post_Mile,End_Abs_Post_Mile,Description,Length__________Lane_Miles_,Occupancy_Requirement,Hours_of_Operation,Segment_Opening_Date,Project_ID_EA_and_Funding__for_,Comments,Shape_Length
1,5,NB,SAC,9.695,SAC,22.386,504.773,517.464,South of Elk Grove Blvd to the I-5/US 50 interchange,12.691,2+,"M-F
06:00-10:00
15:00-19:00",10/24/2022,03-3C001/3C002,,0.189624263198318
2,5,SB,SAC,22.957,SAC,10.003,518.035,530.989,the I-5/US 50 interchange to South of Elk Grove Blvd,12.954,2+,"M-F
06:00-10:00
15:00-19:00",10/24/2022,03-3C001/3C002,,0.193910697947067
3,50,EB,SAC,R5.371,ED,5.834,11.005,34.632,Watt Ave to Cameron Park Dr,23.627,2+,"M-F
06:00-10:00
15:00-19:00","Watt Ave to Sunrise Blvd - Dec 2011
Sunrise Blvd to Prairie City Rd - Jul 2002
Prairie City Rd to El Dorado Hills Blvd - Nov 2002
El Dorado Hills Blvd to Bass Lake Rd - Nov 2011
Bass Lake Rd to Cameron Park Dr - Oct 2012","03-44161
03-4416U (Sunrise to EDH)
03-3A711
03-3A712",,0.422826724690834
4,50,WB,SAC,R12.267,SAC,R6.366,17.927,12.000,Cameron Park Dr to Watt Ave (Part 3),5.927,2+,"M-F
06:00-10:00
15:00-19:00","Cameron Park Dr to Bass Lake Rd - June 2013
Bass Lake Rd to El Dorado Hills Blvd - Nov 2011
El Dorado Hills Blvd to Prairie City Rd - Nov 2002
Prairie City Rd to Sunrise Blvd - Mar 2002
Sunrise Blvd to Watt Ave - Mar 2012","03-44161
03-4416U (Sunrise to EDH)
03-3A711
03-3A712",Part 3 of HOV Facility. Split for GIS mapping purposes,0.101361688677935
5,51,NB,SAC,0,SAC,0.717,0,0.717,SR-99/US-50 to N Street,0.717,2+,"M-F
06:00-10:00
15:00-19:00",Sep-99,03-40561,"State Route 51 = Interstate 80 Business Loop
Continuation of HOV lane from Route 99",0.010720659243877
6,51,SB,SAC,1.467,SAC,0,1.467,0,B Street to SR-99/US-50,1.467,2+,"M-F
06:00-10:00
15:00-19:00",Sep-99,03-40561,"State Route 51 = Interstate 80 Business Loop
Continues onto Route 99",0.0219590206173855
7,80,EB,SAC,M0.767,PLA,4.718,84.691,106.237,West El Camino Ave to SR-65,21.546,2+,"M-F
06:00-10:00
15:00-19:00","Yolo Co Line to Longview Dr - Dec 2016
Longview Dr to Madison Ave - Jul 2004
Madison Ave to Riverside Ave - Oct 2003
Riverside Ave to Eureka Rd - Oct 2011
Eureka Rd to Rte 65 - Nov 2011","03-3797U
03-36781
03-36783
03-36782",,0.3655490319987
8,80,WB,PLA,4.88,SAC,M1.012,106.399,84.936,SR-65 to West El Camino Ave,21.463,2+,"M-F
06:00-10:00
15:00-19:00","Rte 65 to Eureka Rd - Nov 2011
Eureka Rd to Riverside Ave - Oct 2011
Riverside Ave to Longview Dr - Jul 2004
Longview Dr to Yolo Co Line - Dec 2016","03-3797U
03-36781
03-36783
03-36782",,0.364442874338798
9,99,NB,SAC,11.969,SAC,R24.351,286.475,298.857,Elk Grove Blvd to US-50/SR-51,12.382,2+,"M-F
06:00-10:00
15:00-19:00","Elk Grove Blvd to Laguna Blvd - Oct 1998
Laguna Blvd to Mack Rd - Oct 1997
Mack Rd to Martin Luther King Jr Blvd - Nov 1990
MLK Jr Blvd to Jct Rtes 50/51 - Sep 1999","03-35780 (Elk Grove to Mack)
03-30090 
03-40561  ",Continues onto Rte 51,0.190159759616841
10,99,SB,SAC,R24.351,SAC,12.191,298.857,286.697,US-50/SR-51 to Elk Grove Blvd,12.16,2+,"M-F
06:00-10:00
15:00-19:00","Jct Rtes 50/51 to Martin Luther King Jr  Blvd- Sep 1999
MLK Jr Blvd to Mack Rd - Nov 1990
Mack Rd to Laguna Blvd - Oct 1997
Laguna Blvd to Elk Grove Blvd - Oct 1998","03-35780 (Elk Grove to Mack)
03-30090 
03-40561 ",Continuation of HOV lane from Rte 51,0.18682452863825
11,1,NB,SF,4.645,SF,5.951,426.442,427.748,N. of Crossover Dr. to N. of Lake St.,1.306,2+,"M-F
5:00-20:00","Opened; GP lane conversion to HOV 2+ pilot project (2-3 years), 04/11/22",,,0.0205045402257084
12,1,SB,SF,5.955,SF,4.559,427.752,426.366,N. of Lake St. to Crossover Dr.,1.386,2+,"M-F
5:00-20:00","Opened; GP lane conversion to HOV 2+ pilot project (2-3 years), 04/11/22",,,0.0221131526345388
13,4,EB,CC,R13.116,CC,R28.480,12.923,28.263,Port Chicago Hwy to Hillcrest Ave,15.34,2+,"M-F
15:00-19:00","Opened; Port Chicago Hwy. to W/O Railroad Ave., 08/06/01 
Extended; W/O Railroad Ave. to Railroad Ave., 07/24/06
Extended; Railroad Ave. to W/O Loveridge Rd., 11/06/13
Extended; W/O Loveridge Rd. to W/O Somersville Rd., 11/21/15
Extended; W/O Somersville",,"EB only - PM
",0.276469767877204
14,4,WB,CC,R28.722,CC,R16.382,28.055,16.189,Hillcrest Ave to E/O Port Chicago Hwy,11.866,2+,"M-F
05:00-09:00","Opened; Bay Point to E/O Port Chicago Hwy., 05/01/00
Extended; Bailey Rd. to E/O Port Chicago Hwy., 05/05/00
Extended; W/O Railroad Ave. to E/O Port Chicago Hwy., 07/23/01
Extended; Loveridge Road to E/O Port Chicago Hwy., 07/24/06
Extended; Loveridge Ro",,"WB only - AM

",0.222176130288163
15,80,EB,ALA,2.579,CC,13.171,7.908,26.523, I-880 to Cummings Skyway,18.615,3+,"M-F
05:00-10:00
15:00-19:00","Opened; Gilman St. to Contra Costa Co. line, 07/31/98
Extended; Powell St. to Gilman St., 11/20/98 
Extended; I-880 viaduct to Powell St., 11/12/03
Opened ; San Pablo Dam Road to Pinole Valley Road, 02/12/97
Extended; Cutting Blvd. to San Pablo Dam Road,",,2-Seat Vehicles with 2 Persons Permitted,0.290767758021531
16,80,EB,SOL,0.504,SOL,0.673,27.995,28.164,Carquinez Bridge Toll Plaza,0.255,3+,"M-F
05:00-10:00
15:00-19:00","Opened; W/O Toll Plaza to E/O Toll Plaza, 07/30/97
HOV lane moved from Toll Booth 5 to 10. HOV lanes now through Toll Booths 1 and 10. 10/28/2021
All Electronic Tolling began (AET) across all lanes; Customer Service Center were only able to send invoices",,"2-Seat Vehicles with 2 Persons Permitted

HOV lane moved from Toll Booth 5 to Toll Booth 10: Lane 1 0.17 mi, lane 10 = 0.085
",0.00257238926308823
17,80,EB,SOL,R11.481,SOL,19.594,38.976,47.096,Red Top Road to Air Base Pkwy,8.12,2+,"M-F
05:00-10:00
15:00-19:00","Opened; Red Top Road to E/O Air Base Pkwy., 11/04/09",,,0.136542621838653
18,80,WB,SOL,20.051,SOL,12.456,47.553,39.958,E/O Air Base Pkwy. to WB Route 12,7.595,2+,"M-F
05:00-10:00
15:00-19:00","Opened; E/O Air Base Pkwy. to I-680, 10/01/09
Shortened; section between Route 12 and I-680 removed, 2014
Shortended; 0.5 miles of HOV lane on WB end removed, 09/2018",,Portion between I-680 and Route 12 eliminated in 2014,0.127404592318381
19,80,WB,SOL,0.838,ALA,4.003,28.329,9.332,SR-29 to Powell Street,18.997,3+,"M-F
05:00-10:00
15:00-19:00","Extended; Route 29 to Contra Costa Co. line, 11/17/07 
Opened; Pinole Valley Road to Cutting Blvd, 03/05/97
Extended; Cutting Blvd. to Central Ave.,05/03/97
Extended; Route 4 to Pinole Valley Road, 09/20/97
Extended; Central Ave. to Alameda Co. line, 02/",,2-Seat Vehicles with 2 Persons Permitted,0.294520922792388
20,80,WB,ALA,4.117,ALA,2.614,9.446,7.943,Powell St. to end of HOV lane beyond Slip Ramp to toll lane 20.,1.503,3+  ,"M-F
05:00-10:00
15:00-19:00","Opened; Powell St. to HOV slip-ramp (HOV flyover), 02/02/98",,2-Seat Vehicles with 2 Persons Permitted,0.0230846171917265
21,80,WB,ALA,2.998,ALA,1.784,8.327,7.113,San Francisco-Oakland Bay Bridge Toll Plaza,3.103,3+  ,"M-F
05:00-10:00
15:00-19:00","Opened, 04/17/70
All Electronic Tolling began (AET) across all lanes; Customer Service Center were only able to send invoices to vehicles with Fastrak accounts. 03/21/20
Invoices to vehicles without Fastrak accounts began. 01/01/2021",,"2-Seat Vehicles with 2 Persons Permitted

4 LANES TOTAL (1, 2, 19, 20)
Lane 1 (PM 2.267 to PM 1.784),  length = 0.483 ln-mi,  connects from NB 880S LEFT lane
Lane 2 (PM 2.998 to PM 1.784),  length = 1.214 ln-mi
Lane 19 (PM 2.29 to PM 1.784),  length = 0.",0.0215005113042234
22,84,WB,ALA,R5.926,ALA,R3.012,35.986,33.072,I-880 to Dumbarton Bridge Toll Plaza,2.914,2+,"M-F
05:00-10:00
15:00-18:00","Opened; Newark Blvd to Dumbarton Bridge Toll Plaza, 10/06/82
Extended; Newark Blvd. to University Ave., 11/22/89
Shortened; Neward Blvd. to W/O Toll Plaza, 11/17/90
Extended; I-880/84 Junction to Newark Blvd, 07/31/08
All Electronic Tolling began (AET) a",,,0.0484641326404609
23,85,NB,SCL,0.215,SCL,R23.3,0.215,23.476,US-101 (South San Jose) to S/O Moffett Blvd. ,24.561,2+,"M-F
05:00-09:00
15:00-19:00","Opened; Route 280 to Route 237, 02/22/90
Opened; new section from Route 101 (San Jose) to Almaden Expwy., 08/12/94
Extended; Almaden Expwy. to Route 280, 10/19/94
Extended; Route 237 to US-101 (Mountain View), 11/06/98
Opened; direct HOV connector from R",,Includes flyover from NB 101 to NB 85 (1.3 mi) ,0.389840705566893
