County Name,Abbrev.,District
Alameda,ALA,4
Alpine,ALP,10
Amador,AMA,10
Butte,BUT,3
Calaveras,CAL,10
Colusa,COL,3
Contra Costa,CC,4
Del Norte,DN,1
El Dorado,ED,3
Fresno,FRE,6
Glenn,GLE,3
Humboldt,HUM,1
Imperial,IMP,11
Inyo,INY,9
Kern,KER,6
Kings,KIN,6
Lake,LAK,1
Lassen,LAS,2
Los Angeles,LA,7
Madera,MAD,6
Marin,MRN,4
Mariposa,MPA,10
Mendocino,MEN,1
Merced,MER,10
Modoc,MOD,2
Mono,MNO,9
Monterey,MON,5
Napa,NAP,4
Nevada,NEV,3
Orange,ORA,12
Placer,PLA,3
Plumas,PLU,2
Riverside,RIV,8
Sacramento,SAC,3
San Benito,SBT,5
San Bernardino,SBD,8
San Diego,SD,11
San Francisco,SF,4
San Joaquin,SJ,10
San Luis Obispo,SLO,5
San Mateo,SM,4
Santa Barbara,SB,5
Santa Clara,SCL,4
Santa Cruz,SCR,5
Shasta,SHA,2
Sierra,SIE,3
Siskiyou,SIS,2
Solano,SOL,4
Sonoma,SON,4
Stanislaus,STA,10
Sutter,SUT,3
Tehama,TEH,2
Trinity,TRI,2
Tulare,TUL,6
Tuolumne,TUO,10
Ventura,VEN,7
Yolo,YOL,3
Yuba,YUB,3
